name,xest,yest,zest,xapr,yapr,zapr,xcor,ycor,zcor,xrms,yrms,zrms,latest,lonest,hgtest,latapr,lonapr,hgtapr,latcor,loncor,hgtcor,latrms,lonrms,hgtrms,north,east,up,adj
LEMN,4434466.0938,2084864.4036,4069305.4154,4434466.1019,2084864.4143,4069305.4163,-0.0081,-0.0107,-0.0009,0.0015,0.0008,0.0014,39.8972,25.1806,106.8641,39.8972,25.1806,106.8738,0.0069,-0.0062,-0.0097,0.0006,0.0005,0.0021,0.0069,-0.0062,-0.0097,ESTIM
POLV,3411557.1362,2348464.1062,4834396.9629,3411557.1436,2348464.1163,4834396.9692,-0.0074,-0.0101,-0.0063,0.0009,0.0005,0.001,49.6026,34.5429,178.3537,49.6026,34.5429,178.3662,0.0049,-0.0041,-0.0124,0.0004,0.0004,0.0013,0.0049,-0.0042,-0.0124,HELMR
PDEL,4551595.9043,-2186892.9552,3883410.9579,4551595.9095,-2186892.9571,3883410.9631,-0.0053,0.002,-0.0052,0.0015,0.0008,0.0014,37.7478,-25.6628,110.6053,37.7478,-25.6628,110.6129,-0.0007,-0.0005,-0.0076,0.0007,0.0008,0.002,-0.0007,-0.0005,-0.0076,HELMR
MAT1,4641951.2802,1393053.855,4133281.0241,4641951.2708,1393053.8463,4133281.0125,0.0093,0.0088,0.0116,0.0031,0.0014,0.0025,40.6491,16.7045,534.546,40.6491,16.7045,534.5297,0.0014,0.0057,0.0163,0.0009,0.0008,0.0041,0.0013,0.0057,0.0163,HELMR
DYNG,4595220.0337,2039434.1321,3912625.9709,4595220.0258,2039434.1386,3912625.9602,0.0079,-0.0065,0.0107,0.0026,0.0014,0.0022,38.0786,23.9324,510.5808,38.0786,23.9324,510.5706,0.0056,-0.0091,0.0102,0.0008,0.0008,0.0035,0.0056,-0.0091,0.0102,ESTIM
KLOK,4564746.958,1845610.866,4040935.1422,4564746.9552,1845610.8806,4040935.1469,0.0028,-0.0146,-0.0046,0.0019,0.001,0.0016,39.5647,22.0144,138.5489,39.5647,22.0144,138.5541,-0.0017,-0.0145,-0.0052,0.0006,0.0006,0.0026,-0.0017,-0.0146,-0.0052,ESTIM
GLSV,3512888.7654,2068980.0248,4888903.2804,3512888.7546,2068980.0235,4888903.2827,0.0108,0.0013,-0.0023,0.0008,0.0004,0.0008,50.3642,30.4967,226.3167,50.3642,30.4967,226.3121,-0.0091,-0.0043,0.0046,0.0004,0.0003,0.0011,-0.0091,-0.0043,0.0046,HELMR
KATC,4573403.3769,2409322.0973,3723878.4731,4573403.415,2409321.9822,3723878.6152,-0.0381,0.1151,-0.1421,0.0031,0.0017,0.0025,35.9515,27.7808,74.3191,35.9515,27.7808,74.3863,-0.127,0.1193,-0.0673,0.001,0.0009,0.0041,-0.1267,0.1196,-0.0672,ESTIM
VLSM,4699991.5707,1765547.7593,3921162.2071,4699991.5673,1765547.7604,3921162.1978,0.0035,-0.001,0.0094,0.0025,0.0012,0.0021,38.1768,20.5886,437.1969,38.1768,20.5886,437.1888,0.0056,-0.0022,0.0081,0.0008,0.0007,0.0032,0.0056,-0.0022,0.0081,ESTIM
TILO,4564714.342,2365481.8499,3762366.6348,4564714.3298,2365481.7422,3762366.7402,0.0122,0.1077,-0.1054,0.0028,0.0015,0.0023,36.3804,27.3937,179.5247,36.3804,27.3937,179.5387,-0.1209,0.0898,-0.014,0.0009,0.0008,0.0037,-0.1207,0.09,-0.0139,ESTIM
MDVJ,2845455.8684,2160954.3604,5265993.2933,2845455.8626,2160954.3634,5265993.2843,0.0058,-0.003,0.0091,0.0011,0.0007,0.0013,56.0215,37.2145,257.1162,56.0215,37.2145,257.1071,0.0027,-0.0059,0.0091,0.0006,0.0005,0.0017,0.0027,-0.0059,0.0091,HELMR
AUT1,4466283.269,1896167.0777,4126096.8193,4466283.2752,1896167.1018,4126096.8366,-0.0062,-0.0241,-0.0173,0.0014,0.0008,0.0014,40.5668,23.0037,150.0596,40.5668,23.0037,150.0823,-0.0034,-0.0197,-0.0227,0.0006,0.0005,0.002,-0.0033,-0.0198,-0.0227,ESTIM
TRO1,2102928.3135,721619.5572,5958196.3537,2102928.3095,721619.5537,5958196.3434,0.004,0.0035,0.0103,0.001,0.0005,0.0012,69.6627,18.9397,138.1346,69.6627,18.9397,138.1232,-0.001,0.0021,0.0114,0.0008,0.0004,0.0014,-0.001,0.0021,0.0114,HELMR
HOFN,2679689.9575,-727951.0605,5722789.4869,2679689.9366,-727951.0729,5722789.4842,0.0208,0.0124,0.0028,0.0011,0.0006,0.0016,64.2673,-15.1979,82.8392,64.2673,-15.1979,82.8294,-0.0139,0.0174,0.0098,0.0006,0.0007,0.0017,-0.014,0.0175,0.0098,ESTIM
ONSA,3370658.3975,711877.2854,5349787.0533,3370658.3996,711877.2834,5349787.0554,-0.0021,0.002,-0.0021,0.001,0.0005,0.0011,57.3953,11.9255,45.6034,57.3953,11.9255,45.606,0.0002,0.0024,-0.0026,0.0006,0.0004,0.0014,0.0002,0.0024,-0.0026,HELMR
WTZR,4075580.3725,931853.9677,4801568.2176,4075580.3873,931853.9686,4801568.2312,-0.0148,-0.0008,-0.0136,0.0008,0.0004,0.0009,49.1442,12.8789,665.9995,49.1442,12.8789,666.0193,0.0021,0.0025,-0.0199,0.0004,0.0003,0.0012,0.0021,0.0025,-0.0199,HELMR
BOR1,3738358.2785,1148173.8665,5021815.8565,3738358.2807,1148173.8657,5021815.8611,-0.0022,0.0008,-0.0046,0.001,0.0005,0.001,52.277,17.0735,124.3552,52.277,17.0735,124.3601,-0.0013,0.0014,-0.0048,0.0005,0.0003,0.0014,-0.0013,0.0014,-0.0048,HELMR
NICO,4359415.5415,2874117.1769,3650777.9653,4359415.5337,2874117.1817,3650777.9554,0.0078,-0.0048,0.0099,0.0035,0.0019,0.0028,35.141,33.3964,190.0294,35.141,33.3964,190.0205,0.0059,-0.0083,0.0089,0.001,0.0011,0.0047,0.0059,-0.0083,0.0089,HELMR
RLSO,4679938.9996,1840151.2221,3910407.6825,4679938.9807,1840151.2207,3910407.6579,0.0189,0.0014,0.0246,0.0021,0.0011,0.0018,38.0558,21.4647,132.9245,38.0558,21.4647,132.8951,0.0083,-0.0056,0.0294,0.0006,0.0006,0.0029,0.0083,-0.0056,0.0294,ESTIM
BUCU,4093760.6972,2007793.9744,4445130.0682,4093760.7017,2007793.9877,4445130.0815,-0.0045,-0.0133,-0.0133,0.0009,0.0005,0.0009,44.4639,26.1257,143.2183,44.4639,26.1257,143.2347,-0.0025,-0.0099,-0.0164,0.0004,0.0003,0.0013,-0.0025,-0.0099,-0.0164,ESTIM
